ds,yhat,yhat_lower,yhat_upper
2002-01-01 01:00:00,31203.829401770134,24351.86882954355,38306.9344001406
2002-01-01 02:00:00,31221.4280246642,24351.85172588333,37918.761147309306
2002-01-01 03:00:00,31234.10574919087,24332.04222982834,37922.05993265537
2002-01-01 04:00:00,31242.33223517517,24387.453361499553,38261.40509538841
2002-01-01 05:00:00,31246.589881919845,24502.847467193456,38013.69619825738
2002-01-01 06:00:00,31247.36788034435,24839.42408254023,38074.21830172815
2002-01-01 07:00:00,31245.156385386545,24807.29675293521,37869.263893759016
2002-01-01 08:00:00,31240.44087578163,24378.55419835763,38174.86873714866
2002-01-01 09:00:00,31233.69676493034,24703.825463593857,37880.59904984378
2002-01-01 10:00:00,31225.38432238599,24464.556060780644,38061.596401230774
2002-01-01 11:00:00,31215.943960620534,24509.26516342433,38071.47956479723
2002-01-01 12:00:00,31205.791936250225,24351.404837206694,38062.53282400273
2002-01-01 13:00:00,31195.31650884525,24651.551536142375,37464.37625022562
2002-01-01 14:00:00,31184.87459390357,24531.225791690773,38250.21166046474
2002-01-01 15:00:00,31174.788939687685,24526.66119828284,37434.04326019407
2002-01-01 16:00:00,31165.34585036669,24881.809574012095,37508.204677736816
2002-01-01 17:00:00,31156.793470527085,24832.90819852118,38162.69523707408
2002-01-01 18:00:00,31149.340638559202,24407.645953553045,38032.28582977437
2002-01-01 19:00:00,31143.1563088942,24817.533092234906,37833.2114204818
2002-01-01 20:00:00,31138.369535641403,24596.07789893289,38112.814959151016
2002-01-01 21:00:00,31135.070002852768,24349.148093092146,37603.51773947485
2002-01-01 22:00:00,31133.309079690414,24759.757332572786,37618.81327470247
2002-01-01 23:00:00,31133.10137211498,24288.437977863072,38656.217474512196
2002-01-02 00:00:00,31134.426736525722,24403.13533246186,37784.725020716694
2002-01-02 01:00:00,31137.23271511861,24438.648286721247,38252.71101367701
2002-01-02 02:00:00,31141.437347639792,24190.280038214256,37949.276432237784
2002-01-02 03:00:00,31146.932309819393,24069.109368583882,38178.07543142795
2002-01-02 04:00:00,31153.586325037017,24639.281798080072,38046.353143638786
2002-01-02 05:00:00,31161.248792815364,24353.54879787805,37924.81422233137
